graph_id,file_name
G01,Readings_2023-12-09.png
G02,Readings_2023-12-10.png
G03,Readings_2023-12-11.png
G04,Readings_2023-12-15.png
G05,Readings_2023-12-16.png
G06,Readings_2023-12-17.png
G07,Readings_2023-12-21.png
G08,Readings_2023-12-23.png
G09,Readings_2023-12-24.png
G10,Readings_2023-12-30.png
G11,Readings_2024-01-05.png
G12,Readings_2024-01-06.png
G13,Readings_2024-01-07.png
G14,Readings_2024-01-10.png
G15,Readings_2024-02-02.png
G16,Readings_2024-02-03.png
G17,Readings_2024-02-07.png
G18,Readings_2024-02-08.png
G19,Readings_2024-02-15.png
G19,Readings_2024-03-04.png
G21,Readings_2024-03-05.png
G22,Readings_2024-03-06.png
G23,Readings_2024-03-07.png
G24,Readings_2024-03-08.png
G25,Readings_2024-03-09.png